Protein,log2FC,AveExpr,t,p_value,adj_p_value,B,Description,significant_FDR05,significant_FC1
Q9JJM9,0.0616865606700046,25.434657294867,0.187592327149021,0.852590624885535,0.911506067868741,-6.25603385515733,Septin-5 OS=Rattus norvegicus OX=10116 GN=Septin5 PE=1 SV=2,False,False
Q63228,-0.617197313240389,28.0944661812981,-3.77996089609674,0.000784056941406,0.0161184144201206,-0.577738129118253,Glia maturation factor beta OS=Rattus norvegicus OX=10116 GN=Gmfb PE=1 SV=2,True,False
B0BNF1,-0.43751707032196,28.2458526607004,-2.7266706513087,0.0110693125886762,0.0753966385756999,-3.00051707037543,Septin-8 OS=Rattus norvegicus OX=10116 GN=Septin8 PE=1 SV=1,False,False
Q62813,0.0262587103168137,26.976215571062,0.232971913314909,0.817529966437496,0.892065124455509,-6.24650094914039,Limbic system-associated membrane protein OS=Rattus norvegicus OX=10116 GN=Lsamp PE=1 SV=1,False,False
Q9JHY2,-0.277634122334533,26.8088273490456,-2.60647585310935,0.0146749682729751,0.0842121485958696,-3.25238647347355,Sideroflexin-3 OS=Rattus norvegicus OX=10116 GN=Sfxn3 PE=2 SV=2,False,False
Q62910,0.201393867816549,29.6718545723241,2.02859246188647,0.0524082232506328,0.173416337317332,-4.361352308396,Synaptojanin-1 OS=Rattus norvegicus OX=10116 GN=Synj1 PE=1 SV=3,False,False
P19804,0.551402447988661,27.4345310045734,2.46629257754116,0.0202488976366473,0.0977405815802888,-3.53766980955998,Nucleoside diphosphate kinase B OS=Rattus norvegicus OX=10116 GN=Nme2 PE=1 SV=1,False,False
Q4V7C7,0.483904714664533,27.2177613600662,2.42567896585728,0.0221959045815852,0.102727199409644,-3.6185135819236,Actin-related protein 3 OS=Rattus norvegicus OX=10116 GN=Actr3 PE=1 SV=1,False,False
Q68FQ0,-0.122726955756097,28.3919558339173,-0.637967268010364,0.528837375942541,0.704667651616174,-6.07155036218522,T-complex protein 1 subunit epsilon OS=Rattus norvegicus OX=10116 GN=Cct5 PE=1 SV=1,False,False
Q6RJR6,0.0157515495825002,29.3658878009194,0.110694255175217,0.912672707725956,0.946404842997673,-6.26750030188453,Reticulon-3 OS=Rattus norvegicus OX=10116 GN=Rtn3 PE=1 SV=1,False,False
Q6NYB7,-0.396003875754111,30.2018011699831,-2.99313096961631,0.0058216141809014,0.0516663521446148,-2.42072124745441,Ras-related protein Rab-1A OS=Rattus norvegicus OX=10116 GN=Rab1A PE=1 SV=3,False,False
P80254,0.469643238454669,25.9551401006987,1.71851973332471,0.0970822822639447,0.265314996630884,-4.87350192517233,D-dopachrome decarboxylase OS=Rattus norvegicus OX=10116 GN=Ddt PE=1 SV=3,False,False
P61751,0.0680473916499551,27.8043803675315,0.45236306211133,0.654599823724401,0.794766377907541,-6.17163953085066,ADP-ribosylation factor 4 OS=Rattus norvegicus OX=10116 GN=Arf4 PE=2 SV=2,False,False
Q9R1Z0,0.255026035088402,27.2563950793529,1.29203100306604,0.207232039787945,0.417160407231124,-5.46389713694241,Voltage-dependent anion-selective channel protein 3 OS=Rattus norvegicus OX=10116 GN=Vdac3 PE=1 SV=2,False,False
Q3T1K5,-0.0701188171057403,25.9290115519796,-0.343685343314343,0.733729289642981,0.841767818520496,-6.21466145241751,F-actin-capping protein subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Capza2 PE=1 SV=1,False,False
Q64568,-0.33059451562433,29.3633948718417,-2.28420846578918,0.0303939399420036,0.123837984485818,-3.89338225285196,Plasma membrane calcium-transporting ATPase 3 OS=Rattus norvegicus OX=10116 GN=Atp2b3 PE=1 SV=2,False,False
Q7TPB1,0.186854351066085,28.0267134421246,1.5254249698935,0.138714270572614,0.327547136152704,-5.15819561961895,T-complex protein 1 subunit delta OS=Rattus norvegicus OX=10116 GN=Cct4 PE=1 SV=3,False,False
Q63028,-0.581027472244035,28.9174687575034,-4.36869040892924,0.000164080276799,0.0104528788101997,0.879512784157972,Alpha-adducin OS=Rattus norvegicus OX=10116 GN=Add1 PE=1 SV=2,True,False
