"Protein","Symbol","FC_hfd","FC_pio","FC_ip","FC_cr","RescuePct_Pio","RescuePct_IP","RescuePct_Cr"
"P06687","Atp1a3",0.493162302916101,0.0714593444525349,-0.0921435066576848,-0.145048050723251,-14.4900257035039,18.6842153410417,29.4118284924805
"P82995","Hsp90aa1",0.356847735619283,0.0570125320456931,-0.0902274976611857,-0.154106608402667,-15.9767111725543,25.2845930224561,43.1855363003008
"P02091","Hbb",0.746465271367665,-0.236055274861041,0.0889746642125999,-0.213012216725357,31.6230753010844,-11.9194646590298,28.5361188116734
"P35213","Ywhab",0.516080553927214,-0.208381955737366,-0.106831778872113,-0.246776915553397,40.3777964799572,20.7006014970252,47.8175187333645
"P05065","Aldoa",0.820544628348774,0.174377120387103,0.021213002861554,-0.0960726109371883,-21.2513877201306,-2.58523450506794,11.7083955726479
"P00507","Got2",0.315101786346716,0.0196935937172,-0.147038770809033,-0.08336613877308,-6.24991497050117,46.663896296431,26.4568918315651
"P11517","Hbb-bs",1.228678567753,-0.465092518415464,-0.218885574012472,-0.541724222389416,37.8530667517073,17.8147140966875,44.0899871298413
"P04642","Ldha",0.485997548048317,0.133659523128721,0.050989954493442,0.0480229929889013,-27.5020982442144,-10.4918131167964,-9.88132413049272
"P09606","Glul",0.651678352248371,-0.157849462999444,-0.381901597971346,-0.424849908049541,24.2219896448676,58.6027749201332,65.1931902577025
"P42123","Ldhb",0.57000844324493,0.364352526175907,0.0840820152601225,-0.0224574482842925,-63.9205489837536,-14.7510122449174,3.93984484798985
"P60203","Plp1",0.808986013493687,0.242047148954967,0.0655653836939294,0.0408739767927386,-29.919818750594,-8.10463748449479,-5.0524948652969
"Q6P6R2","Dld",0.327700688032717,-0.0058218914761845,-0.273276793635898,-0.0171993089824447,1.77658811494569,83.3921940403783,5.24848119352363
"Q08163","Cap1",0.380809082558336,0.0952542981020983,0.144161897298844,0.22737176952571,-25.0136623481154,-37.8567381666271,-59.7075489896907
"P35704","Prdx2",0.596043651391742,0.248393580284617,0.121683520271102,-0.0472826933679187,-41.6737230074721,-20.4152028105618,7.93275681361846
"P08413","Camk2b",-0.52023236136376,-0.233126636987247,0.18111949379151,0.0932358781033145,-44.8120213775472,34.8151147915357,17.9219681487906
"P61980","Hnrnpk",-0.637643304850968,-0.102336757083251,0.0870303550603495,0.0811898269556508,-16.0492169061776,13.6487522723524,12.7327969003966
"O35179","Sh3gl2",-0.363772705113462,-0.0376949318994164,0.007973062944,-0.0708567405503651,-10.3622210708907,2.19177052921361,-19.4783004756403
"B0BND0","Enpp6",0.462347171747794,-0.004273731759735,-0.131968538006063,-0.0176923642069795,0.924355553766917,28.5431697369722,3.82664051779482
"Q63228","Gmfb",-0.617197313240389,-0.264421598443747,-0.0008161638790795,-0.0264484521940354,-42.8423119756451,-0.132237108226299,-4.28525070129949
"Q63028","Add1",-0.581027472244035,-0.0087911689940085,0.194932785467163,0.0921283142467431,-1.51303843862243,33.5496675766977,15.8561029637595
"A9UMV8","H2aj",0.521746880666974,0.0790079263450743,-0.0432001068696799,-0.0713163369214982,-15.1429609400012,8.2798974886932,13.6687615324755
"P10536","Rab1b",-0.544142280755235,-0.41658659949967,-0.340043499194355,-0.154508612029002,-76.5583955213835,-62.4916517647546,-28.3948918313339
"P31000","Vim",-0.320643791263425,-0.0240289382314245,-0.0141687295233233,-0.13354919562066,-7.49396647811076,-4.41883794708595,-41.6503295118983
"P82471","Gnaq",-0.376376507070972,0.0024676927421616,-0.0553411186739439,-0.0519796121882976,0.655644732283005,-14.7036591376593,-13.810535783121
"P19511","Atp5pb",0.470587903139624,-0.0218405427272828,0.0098015027452333,-0.0183978612060187,4.64111860538045,-2.08282080347594,3.90954826574878
"P55068","Bcan",0.330448235941454,-0.021688031533948,-0.112439741630599,-0.0575425610049152,6.5632160123834,34.026431192848,17.4134871202974
"Q63429","Ubc",-0.60713653844897,-0.140705359829951,0.0209611254130699,0.170049696725901,-23.1752416333575,3.45245658688547,28.0084768346048
"O35077","Gpd1",0.362021224576086,-0.0434156036520363,-0.141039975358936,-0.0667391176564038,11.9925575366125,38.9590349361667,18.4351394685637
"Q63716","Prdx1",0.612880570702441,0.185069490523464,0.0303472821031825,-0.0050393086384268,-30.1966646309819,-4.95158168717937,0.822233381073102
"Q641Y2","Ndufs2",0.509654248273261,0.0209850021509475,-0.152095208793646,-0.230302986479856,-4.11749773930973,29.8428217382576,45.1880833447649
