Protein.Ids	Description	AC1R1.raw	AC1R2.raw	AC1R3.raw	AC2R1.raw	AC2R2.raw	AC2R3.raw	AHFD1R1.raw	AHFD1R2.raw	AHFD1R3.raw	AHFD2R1.raw	AHFD2R2.raw	AHFD2R3.raw	AHFD3IPR1.raw	AHFD3IPR2.raw	AHFD3IPR3.raw	AHFD4IPR1.raw	AHFD4IPR2.raw	AHFD4IPR3.raw	AHFD5PioR1.raw	AHFD5PioR2.raw	AHFD5PioR3.raw	AHFD6PioR1.raw	AHFD6PioR2.raw	AHFD6PioR3.raw	AHFD7CrR1.raw	AHFD7CrR2.raw	AHFD7CrR3.raw	AHFD8CrR1.raw	AHFD8CrR2.raw	AHFD8CrR3.raw
Q6P7B0	Tryptophan--tRNA ligase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Wars1 PE=1 SV=2	73996377.03125	97813126.25	84794548.75	77841939.75	140245063.5	107673470.0	168271127.125	99867089.875	184306631.0	89155660.75	128257817.75	114516734.5	108092819.0	168190583.75	70871971.5	120068716.75	131121982.0	173325125.5	153486127.0	186621780.5	165524828.25	148407419.0	153108594.125	161472981.0	190904852.5	199563614.0	129093237.25	154321826.75	113833381.25	158628939.0
Q9Z2L9	Protein NDRG4 OS=Rattus norvegicus OX=10116 GN=Ndrg4 PE=1 SV=1	388166039.5	273234907.0	336120397.09375	312263546.0625	294100018.5	467042660.515625	243567783.75	322070741.0	298224988.5	201966967.84375	415628829.6875	352495404.8125	283971381.875	426840464.625	163854385.625	166435919.875	312518304.125	288281224.375	195096236.25	182370917.6875	194956324.492188	249765571.0	194638208.203125	240227435.375	269695069.25	400080448.0	453208983.625	251022747.5625	184193742.6875	193802941.375
P62914	Large ribosomal subunit protein uL5 OS=Rattus norvegicus OX=10116 GN=Rpl11 PE=1 SV=2	240576199.1875	226831579.9375	222726337.5	250116057.625	199885465.75	273469168.3125	271773718.5	282869364.1875	274751785.375	244936472.75	245361315.375	292271650.125	216201143.25	224263769.25	338797842.0	279093010.4375	240340539.0	248966896.5	292265531.25	202501392.03125	293154319.75	249183847.375	185535692.125	391482870.5	272959056.375	348749272.875	347778159.8125	268840130.9375	367373675.125	303797021.5
Q63150	Dihydropyrimidinase OS=Rattus norvegicus OX=10116 GN=Dpys PE=1 SV=2	63402219.5	112286786.0	64459231.25	110573668.25	173599392.0	118853853.6875	111433592.5	62160809.75	154755421.125	138673892.0	83926209.5	103509932.625	115906772.75	88169482.25	87389893.0	109149462.5	102010044.375	121463672.25	123542484.25	113373773.5625	140908483.0	104732266.5	93177508.3125	80713199.6875	90510020.875	200783898.5	106498487.75	136338657.0	103202911.5	116168418.25
Q62881	Nucleolar protein 3 OS=Rattus norvegicus OX=10116 GN=Nol3 PE=1 SV=1	685653.125	39347565.1875	288632.65625	915353.8125	890320.0	41938142.875	42578051.875	43090377.625	53456722.0	37548064.875	50530725.5	53069530.25	54896976.625	44350971.875	54091439.125	53819502.125	56166845.4375	60244632.875	33040640.625	66682527.0625	43355239.75	42445625.625	31494014.75	47782437.25	45273740.125	63905140.5	993344.3125	47779838.3125	45770191.375	69474222.0
O55096	Dipeptidyl peptidase 3 OS=Rattus norvegicus OX=10116 GN=Dpp3 PE=1 SV=2	746177083.375	429899625.75	674213985.25	452347457.125	489665666.8125	487118876.0	579092081.359375	466824514.9375	614445981.6875	526879400.125	923668321.375	651945857.875	585589738.625	700493992.375	490660928.0	605645770.375	810732727.5	642308508.5	443423588.0	455374548.4375	556128827.25	588380064.875	489509766.9375	549408306.0	545761614.875	767226311.125	786475526.875	758257820.0	673489900.375	722901417.75
P63159	High mobility group protein B1 OS=Rattus norvegicus OX=10116 GN=Hmgb1 PE=1 SV=2	102065140.359375	95962081.0	96777040.5	108274800.587891	128934953.75	110496633.5625	168769712.5	143464815.719727	142716867.0	123271435.419922	162978157.75	141694255.75	124641191.0625	146592554.25	141692307.25	155201347.375	162145313.5	136322865.25	141554863.081055	185535503.6875	154531331.859375	178898127.5625	128381460.75	169458712.75	162863613.0	149508671.625	165177826.25	193104839.75	157136484.75	149025826.5
O89046	Coronin-1B OS=Rattus norvegicus OX=10116 GN=Coro1b PE=1 SV=1	293858964.0	299969024.902344	286087706.0625	330175151.5625	227549465.5	321259911.375	331376623.9375	284221421.5	223362017.875	213280663.09375	287505225.253906	283838177.3125	165965898.9375	222536497.0	296778254.65625	266622337.875	290404847.4375	275587975.75	194488925.375	161159072.5	224802297.375	187337158.625	211929316.9375	345427993.5	195413465.8125	238880085.375	416047276.332031	250450622.625	281126073.5	281829801.875
Q8CGU9	Tryptophan 5-hydroxylase 2 OS=Rattus norvegicus OX=10116 GN=Tph2 PE=1 SV=1	443261277.0	269838506.875	343752394.125	381037605.0	384756941.0	417488336.75	347622573.625	301561598.25	436347453.5	381068846.0	422926824.0	391958425.4375	396488331.375	406748692.25	417680014.5	444115200.125	476042052.25	459079831.625	329530493.75	321546343.0	386018082.25	359334715.0	301302447.5	402981752.25	346793202.5	528042617.0	398321231.375	371933234.25	362594719.5	504691040.5
P06349	Histone H1t OS=Rattus norvegicus OX=10116 GN=H1-6 PE=1 SV=2	156928326.3125	171019068.171875	173554592.203125	218935710.75	218801419.03125	393794867.046875	227203499.46875	215655710.765625	237866847.25	539467902.335938	314698748.0	221724386.125	238459040.375	234290662.5	574676554.765625	267440218.3125	311279258.75	252948617.5	233742949.3125	219110852.445313	252685096.007813	262694258.984375	207019813.09375	241200308.5	255251422.8125	253432428.5	243243618.0	265488609.21875	216359011.5	292712328.875
