protein_id,mean_intensity,mean_treatment,mean_control,log2FoldChange,pvalue,padj,-log10(pvalue),s0_corrected_-log10(pvalue),regulation
Q03626,27.45260001354469,28.056187448390162,26.771856190203362,1.2843312581867998,1.3895562899197633e-05,0.008783347849129859,4.857123855575073,1.620401115636106,upregulated
P19627,25.024743193919697,25.48897992798868,24.88651703015229,0.6024628978363893,1.6013396260947782e-05,0.008783347849129859,4.7955165493446215,2.1709518188907833,upregulated
Q499N5,28.008833291377265,28.247642665364154,27.615207790535354,0.6324348748287996,5.7193200268987916e-05,0.020913646898359912,4.242655601647483,2.1098163368671607,upregulated
D3ZFD0,31.579578128973555,31.797119313997708,31.354095650401334,0.44302366359637446,0.0002706390966980125,0.032987898786413304,3.5676094647461007,2.758196407614167,upregulated
Q91Y81,27.701512423277546,28.1160070045688,27.356124888881386,0.7598821156874145,0.000254724682995562,0.032987898786413304,3.593928969565713,1.9236602948821657,upregulated
Q6DGG1,25.2715291667103,25.875157200452037,24.554753803469833,1.3204033969822042,0.00021394851135754517,0.032987898786413304,3.6696907309676288,1.6100342187421532,upregulated
O35814,27.844246433581738,28.105156837562557,27.736737835177404,0.3684190023851528,0.00015300725986137223,0.032987898786413304,3.815287962365848,3.4517818997706775,upregulated
P13086,29.5425206890605,30.14524119754525,28.860655715299156,1.2845854822460936,0.00019514267519554217,0.032987898786413304,3.7096477455964605,1.6203256246377293,upregulated
P16446,29.30766753802459,29.97816860228377,28.6010599883584,1.377108613925369,0.00015407025810717273,0.032987898786413304,3.8122811898772127,1.5950298754106746,upregulated
Q63377,27.558564442864416,28.03651938626733,27.425302252926524,0.611217133340805,0.000320630407590637,0.035173155712692875,3.4939952928907916,2.152160751500434,upregulated
P07943,27.494568352826562,27.93847037380149,27.270237499670134,0.6682328741313555,0.0005222159020714149,0.04773923704769518,3.2821499075480904,2.047177905165804,upregulated
P20059,25.04600772738995,25.243187272307665,24.84056119784449,0.4026260744631749,0.0004908421820479837,0.04773923704769518,3.3090581218955557,3.0633803478511754,upregulated
Q5XHZ0,27.55852090043415,28.172673408207686,26.99014125938795,1.1825321488197353,0.0006082561348316283,0.05132745999309972,3.2159135021092897,1.653791914340246,upregulated
Q64541,30.746287638654728,31.03536687173114,30.647398669826174,0.3879682019049646,0.0006740269086664341,0.05281482277193416,3.1713227651084885,3.2100912094149714,non significant
P48675,27.071502464135733,27.491601341556855,26.855610221128014,0.6359911204288409,0.0007265036250747862,0.05313163178046936,3.138762214337676,2.1031277014377645,upregulated
P09216,27.099681157084422,27.36208365348152,26.869013846036847,0.4930698074446731,0.0010047495774006933,0.06888814290053503,2.9979421678008547,2.502750020638544,upregulated
P62909,29.13297525304946,29.38947900709702,29.044409562174362,0.34506944492265745,0.001080456579090521,0.06927279430999893,2.9663926816639408,3.8463544123688513,non significant
P97829,26.1452079465593,26.583407624944915,25.856010754869843,0.7273968700750721,0.0011366547835733644,0.06927279430999893,2.944371416010589,1.9624822212353397,upregulated
Q05764,27.745964987268092,28.068661433399132,27.491636857186197,0.5770245762129349,0.0013391647794556445,0.07731914542436011,2.873165981311096,2.230589245887052,upregulated
O70127,28.190387425846627,28.562150307039833,28.09976319375532,0.4623871132845139,0.001596413034764671,0.08339357614937352,2.7968547348448807,2.6472582112864296,upregulated
P04182,28.470326187838157,28.80372553063518,28.30774475128194,0.49598077935323914,0.0015259825655458798,0.08339357614937352,2.816450428196651,2.4906529257569026,upregulated
Q08877,27.51014508872659,27.802162399556014,27.025494758969984,0.7766676405860302,0.001838783326825921,0.08897871944439883,2.7354694428705684,1.9053294839545865,upregulated
P27952,28.2606969277284,28.51092867716888,28.057873055748853,0.4530556214200274,0.0018655520029363475,0.08897871944439883,2.729192640338768,2.6984875782273883,upregulated
P18163,27.63226437767077,28.05011258442126,27.385372957555763,0.6647396268654973,0.002054554594401636,0.0901538556023438,2.6872823140115747,2.0528604434881905,upregulated
P60522,25.424834282819933,25.657924434596023,25.161847089891808,0.49607734470421505,0.001982794044857517,0.0901538556023438,2.702722394129103,2.4902558438409885,upregulated
P35332,26.62426377500409,26.921803319346285,26.60753954740785,0.31426377193843535,0.0022318849638308423,0.09068065945638644,2.651328193632745,4.7352266383033275,non significant
P60881,27.256774995114807,27.493865387863035,26.90179955851684,0.5920658293461969,0.002226593962520365,0.09068065945638644,2.6523589728691386,2.1943764028893162,upregulated
P70627,27.9345307339834,28.185302953172453,27.707447625366346,0.4778553278061075,0.002441137663454388,0.09386012354330257,2.612407728656226,2.5702557523684826,upregulated
Q62745,24.116722536965156,24.568539506291813,23.654830502815397,0.9137090034764164,0.0024812612422568593,0.09386012354330257,2.6053275081591845,1.7881593303188485,upregulated
P21913,29.138608544607333,29.495999599634192,28.900346142574463,0.5956534570597292,0.0025790155541825914,0.09430600209794342,2.5885460386006045,2.186152186327784,upregulated
Q08163,26.881195551556445,27.289665662056553,26.806910521465536,0.4827551405910171,0.0029735204686094073,0.10522425658272644,2.5267290676326635,2.547692478249009,non significant
Q62847,26.85250595030366,27.125995039713363,26.65643548650802,0.46955955320534315,0.0031277102931301366,0.10654365779326241,2.5047734806511204,2.6104057479222145,non significant
Q6Q629,27.494967825509345,27.782731832789604,27.415855516611444,0.3668763161781605,0.0032050507813834637,0.10654365779326241,2.494165085053149,3.4737032179541796,non significant
D3ZAF6,28.307033377514923,28.68126113725513,28.131937357461954,0.5493237797931769,0.0035326072346848363,0.1139785334249784,2.45190464597621,2.305599089783648,upregulated
P27791,27.603143100289444,28.00474816290955,27.45544808498673,0.549300077922819,0.003925731438489889,0.12304363965781169,2.4060794140511748,2.3056684695176664,upregulated
P26772,28.853941471981987,29.136586685195056,28.785208126989236,0.35137855820581976,0.0040655913045385015,0.12388760169663156,2.3908762811590605,3.7245940934274517,non significant
P34926,29.75085560496704,30.035427662960434,29.600166543297338,0.435261119663096,0.0056705367648151464,0.16369944292111094,2.2463758294732603,2.8081103957673634,non significant
Q9QZR6,29.845358643227662,30.10395056934409,29.777178453432537,0.3267721159115524,0.005534791417857511,0.16369944292111094,2.2568987411412444,4.295924726804132,non significant
Q62645,27.17468961127013,27.431181747216332,26.544613544913318,0.8865682023030139,0.005949467931325752,0.16734785437600896,2.225521872056586,1.8076218573744656,upregulated
P36972,27.503044595410067,27.82670654592232,27.457305245317603,0.3694013006047179,0.006686234410630962,0.1689532086831112,2.1748184016801897,3.4380713665134905,non significant
Q6IG12,28.726276937159774,29.056959757575257,28.451383522122768,0.6055762354524887,0.006490025559391143,0.1689532086831112,2.1877535928328085,2.1641746735138003,upregulated
Q63041,28.204509693882233,28.438997615755472,28.089606072173044,0.34939154358242774,0.0067725783271435054,0.1689532086831112,2.1692459635041708,3.7615130848472265,non significant
P49803,28.668784434884213,29.01183873249958,28.561247581447816,0.45059115105176417,0.00635455577445347,0.1689532086831112,2.196914804110253,2.712688069486919,non significant
Q68FU3,26.871973411490146,27.107113496614232,26.687845267457618,0.4192682291566143,0.006776610010990787,0.1689532086831112,2.1689875069744313,2.9229134161498806,non significant
Q4V8B7,25.453231023762452,25.826916948319035,25.343151240074278,0.48376570824475706,0.007242887465425008,0.17656550110158298,2.140088262490105,2.5431395472649325,non significant
P15865,27.844120130351584,28.09546781512685,27.724801110655918,0.3706667044709313,0.007925808415032841,0.18499174109129846,2.10095642976863,3.420685305833517,non significant
Q711G3,27.360790505434814,27.6609462749808,27.279544333244733,0.381401941736069,0.007864575814935302,0.18499174109129846,2.1043246965881717,3.284557213709571,non significant
P13668,28.16508417967617,28.343336637654435,28.073010535546345,0.2703261021080898,0.00826508997513702,0.1867989697799916,2.0827524142652107,,non significant
P05197,29.12418396625555,29.338834496572673,29.03831455567656,0.30051994089611256,0.008343800837939461,0.1867989697799916,2.0786360708346634,5.471994310146147,non significant
P0DN35,25.70965770754457,26.07611955005645,25.71512642345353,0.3609931266029207,0.008699811551368238,0.18713124062452857,2.0604901546327943,3.5619688826694444,non significant
Q6P730,28.085847187661702,28.415559284961308,28.006528021546586,0.40903126341472174,0.008537420453784073,0.18713124062452857,2.068673329769395,3.006417096144742,non significant
P12785,28.435372344703072,28.618556713673815,28.312663770769195,0.3058929429046202,0.009068911359030716,0.1913191492472441,2.042444842944506,5.137301821464696,non significant
P00762,28.76115220087866,29.5204672626587,27.923823824751107,1.5966434379075913,0.009298224973397802,0.19245571312863,2.031599950137957,1.5484924136263918,upregulated
P62882,27.612633513819627,27.899033987674724,27.509284516694635,0.38974947098008883,0.009514471417960411,0.19328472491671428,2.0216153341914205,3.190899858760034,non significant
O35952,26.208705527957147,26.720291168433068,25.82072283752608,0.8995683309069875,0.01012443068282545,0.19485088524665822,1.994629388682079,1.798109649695628,upregulated
P04797,29.553528918944856,29.88450237588,29.322301277539168,0.5622010983408323,0.010034887972351287,0.19485088524665822,1.9984874715333698,2.269274404224508,non significant
P29457,28.531700540663213,28.787417772497992,28.413867792029592,0.3735499804684004,0.009980493650620944,0.19485088524665822,2.0008479773059604,3.3821869276610066,non significant
Q5RKI1,28.901526069422072,29.12459647418284,28.79665702431716,0.32793944986568135,0.014619259928261253,0.1955616729752407,1.835074612139278,4.26166573810522,non significant
Q5XIM9,29.49480423669493,29.75847594803452,29.361992365887318,0.3964835821472015,0.01388165633798961,0.1955616729752407,1.8575587114364833,3.1218803697891153,non significant
Q75Q41,26.45891607726769,26.682242257695364,26.12328936075915,0.5589528969362156,0.014464735535272347,0.1955616729752407,1.8396895023286044,2.2781863082483587,non significant
Q8K4Y5,26.93110200137699,27.253874535375513,26.981408493153108,0.2724660422224048,0.014371098303640584,0.1955616729752407,1.8425100398697167,,non significant
P36860,27.575803076325617,27.806847202881368,27.452399931114986,0.35444727176638224,0.013133955376108147,0.1955616729752407,1.8816044636036946,3.669936271368471,non significant
P62944,29.236456984688495,29.41493032454095,29.102615691977846,0.31231463256310477,0.01503153720852968,0.1955616729752407,1.8229966037747347,4.8189673460577644,non significant
P16617,29.63674100584667,29.966356376553673,29.496796182373853,0.4695601941798202,0.01453479170644869,0.1955616729752407,1.8375911875872672,2.6104025461293676,non significant
O54889,28.86598827551925,29.080744452427314,28.78299857306543,0.2977458793618837,0.016098767732418282,0.1955616729752407,1.7932073654273066,5.679995571455109,non significant
O35331,27.463217172163304,27.578555315641363,27.303084285253917,0.2754710303874468,0.014535367446308161,0.1955616729752407,1.8375739850227613,,non significant
