"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Process","GO:0009150",10,353,10116,"10116.ENSRNOP00000000772,10116.ENSRNOP00000008980,10116.ENSRNOP00000020670,10116.ENSRNOP00000020822,10116.ENSRNOP00000021920,10116.ENSRNOP00000028838,10116.ENSRNOP00000065147,10116.ENSRNOP00000068764,10116.ENSRNOP00000073983,10116.ENSRNOP00000074608","Hint1,Dld,Atp5f1d,Rhoq,LOC100911417,Itpa,Atp5pb,Aldoa,Adk,Nudt3",3.56e-05,0.0047,"Purine ribonucleotide metabolic process"
"Process","GO:0022904",6,104,10116,"10116.ENSRNOP00000008980,10116.ENSRNOP00000015561,10116.ENSRNOP00000024083,10116.ENSRNOP00000025525,10116.ENSRNOP00000055224,10116.ENSRNOP00000074647","Dld,Slc25a18,Etfb,Cox5a,Ndufs2,Gpd1",3.44e-05,0.0047,"Respiratory electron transport chain"
"Process","GO:0043254",11,429,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000006329,10116.ENSRNOP00000009556,10116.ENSRNOP00000016220,10116.ENSRNOP00000017375,10116.ENSRNOP00000018072,10116.ENSRNOP00000019265,10116.ENSRNOP00000020908,10116.ENSRNOP00000031615,10116.ENSRNOP00000071702,10116.ENSRNOP00000075715","Rac1,Napb,LOC103692716,Mapre1,Dbnl,Add1,Arpc2,Nol3,Ptk2b,Apoe,Hsp90aa1",3.48e-05,0.0047,"Regulation of protein-containing complex assembly"
"Process","GO:0071495",20,1291,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000003787,10116.ENSRNOP00000008999,10116.ENSRNOP00000009813,10116.ENSRNOP00000019174,10116.ENSRNOP00000019265,10116.ENSRNOP00000020822,10116.ENSRNOP00000024430,10116.ENSRNOP00000025980,10116.ENSRNOP00000027497,10116.ENSRNOP00000029070,10116.ENSRNOP00000050393,10116.ENSRNOP00000052160,10116.ENSRNOP00000058882,10116.ENSRNOP00000064092,10116.ENSRNOP00000071539,10116.ENSRNOP00000073266,10116.ENSRNOP00000074119,10116.ENSRNOP00000074647,10116.ENSRNOP00000075066","Rac1,Ptges3,Sh3gl2,Fgb,Gnaq,Arpc2,Rhoq,Vim,Hnrnpk,Atp1a3,Rab35,Nf1,Hnrnpa1,Camk2b,Pdxp,Kif5a,Gnal,Gria1,Gpd1,Itpr3",3.47e-05,0.0047,"Cellular response to endogenous stimulus"
"Process","GO:0010592",4,30,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000009556,10116.ENSRNOP00000019265,10116.ENSRNOP00000075715","Rac1,LOC103692716,Arpc2,Hsp90aa1",3.67e-05,0.0048,"Positive regulation of lamellipodium assembly"
"Process","GO:0022603",17,981,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000004699,10116.ENSRNOP00000017375,10116.ENSRNOP00000018072,10116.ENSRNOP00000019265,10116.ENSRNOP00000020822,10116.ENSRNOP00000022485,10116.ENSRNOP00000024430,10116.ENSRNOP00000025980,10116.ENSRNOP00000031615,10116.ENSRNOP00000050393,10116.ENSRNOP00000058882,10116.ENSRNOP00000065890,10116.ENSRNOP00000066885,10116.ENSRNOP00000068764,10116.ENSRNOP00000071702,10116.ENSRNOP00000074461","Rac1,Prkca,Dbnl,Add1,Arpc2,Rhoq,Ngef,Vim,Hnrnpk,Ptk2b,Nf1,Camk2b,Glul,C3,Aldoa,Apoe,Epn2",3.71e-05,0.0048,"Regulation of anatomical structure morphogenesis"
"Process","GO:0030193",5,63,10116,"10116.ENSRNOP00000004799,10116.ENSRNOP00000009813,10116.ENSRNOP00000026633,10116.ENSRNOP00000069578,10116.ENSRNOP00000071702","Prdx2,Fgb,Cd9,Kng1,Apoe",3.81e-05,0.0049,"Regulation of blood coagulation"
"Process","GO:0032787",12,515,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000002410,10116.ENSRNOP00000003283,10116.ENSRNOP00000003787,10116.ENSRNOP00000008980,10116.ENSRNOP00000015786,10116.ENSRNOP00000017468,10116.ENSRNOP00000017965,10116.ENSRNOP00000024083,10116.ENSRNOP00000066885,10116.ENSRNOP00000068764,10116.ENSRNOP00000072480","Mapk14,Ehhadh,Plp1,Ptges3,Dld,Auh,Ldha,Ldhb,Etfb,C3,Aldoa,Hadhb",3.77e-05,0.0049,"Monocarboxylic acid metabolic process"
"Process","GO:0120036",19,1192,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000003283,10116.ENSRNOP00000004699,10116.ENSRNOP00000008999,10116.ENSRNOP00000009556,10116.ENSRNOP00000011275,10116.ENSRNOP00000016220,10116.ENSRNOP00000017375,10116.ENSRNOP00000020411,10116.ENSRNOP00000024430,10116.ENSRNOP00000025496,10116.ENSRNOP00000027497,10116.ENSRNOP00000029070,10116.ENSRNOP00000031615,10116.ENSRNOP00000035271,10116.ENSRNOP00000070988,10116.ENSRNOP00000071539,10116.ENSRNOP00000071702,10116.ENSRNOP00000075715","Rac1,Plp1,Prkca,Sh3gl2,LOC103692716,Bsg,Mapre1,Dbnl,Lgi1,Vim,Bcan,Atp1a3,Rab35,Ptk2b,Negr1,Gpm6b,Kif5a,Apoe,Hsp90aa1",3.83e-05,0.0049,"Plasma membrane bounded cell projection organization"
"Process","GO:0006119",6,109,10116,"10116.ENSRNOP00000008980,10116.ENSRNOP00000020670,10116.ENSRNOP00000021920,10116.ENSRNOP00000025525,10116.ENSRNOP00000055224,10116.ENSRNOP00000065147","Dld,Atp5f1d,LOC100911417,Cox5a,Ndufs2,Atp5pb",4.42e-05,0.0055,"Oxidative phosphorylation"
"Process","GO:0046390",7,164,10116,"10116.ENSRNOP00000008980,10116.ENSRNOP00000009183,10116.ENSRNOP00000020670,10116.ENSRNOP00000021920,10116.ENSRNOP00000065147,10116.ENSRNOP00000068764,10116.ENSRNOP00000073983","Dld,Pygl,Atp5f1d,LOC100911417,Atp5pb,Aldoa,Adk",4.8e-05,0.0058,"Ribose phosphate biosynthetic process"
"Process","GO:0019752",15,805,10116,"10116.ENSRNOP00000000617,10116.ENSRNOP00000002410,10116.ENSRNOP00000003283,10116.ENSRNOP00000003787,10116.ENSRNOP00000004385,10116.ENSRNOP00000008980,10116.ENSRNOP00000015786,10116.ENSRNOP00000015956,10116.ENSRNOP00000017468,10116.ENSRNOP00000017965,10116.ENSRNOP00000024083,10116.ENSRNOP00000065890,10116.ENSRNOP00000066885,10116.ENSRNOP00000068764,10116.ENSRNOP00000072480","Mapk14,Ehhadh,Plp1,Ptges3,Qdpr,Dld,Auh,Got2,Ldha,Ldhb,Etfb,Glul,C3,Aldoa,Hadhb",4.98e-05,0.0059,"Carboxylic acid metabolic process"
"Process","GO:0098662",13,617,10116,"10116.ENSRNOP00000008342,10116.ENSRNOP00000015561,10116.ENSRNOP00000018821,10116.ENSRNOP00000020670,10116.ENSRNOP00000020720,10116.ENSRNOP00000020908,10116.ENSRNOP00000021920,10116.ENSRNOP00000022383,10116.ENSRNOP00000025525,10116.ENSRNOP00000027497,10116.ENSRNOP00000065147,10116.ENSRNOP00000074536,10116.ENSRNOP00000075066","Slc6a11,Slc25a18,Slc6a12,Atp5f1d,Slc32a1,Nol3,LOC100911417,Slc17a6,Cox5a,Atp1a3,Atp5pb,Slc6a8,Itpr3",4.88e-05,0.0059,"Inorganic cation transmembrane transport"
"Process","GO:0032956",10,370,10116,"10116.ENSRNOP00000001417,10116.ENSRNOP00000007794,10116.ENSRNOP00000017375,10116.ENSRNOP00000018072,10116.ENSRNOP00000019265,10116.ENSRNOP00000022363,10116.ENSRNOP00000031615,10116.ENSRNOP00000064092,10116.ENSRNOP00000067695,10116.ENSRNOP00000070988","Rac1,Dstn,Dbnl,Add1,Arpc2,Hras,Ptk2b,Pdxp,Gmfb,Gpm6b",5.22e-05,0.0061,"Regulation of actin cytoskeleton organization"
