"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019693","ribose phosphate metabolic process",70,0.437110548966387,1.82923298863254,0.00025853065499954,0.0322642506758007,0.0308279916073501,293,"tags=53%, list=31%, signal=40%","245965/690660/25368/24189/294292/171375/298942/85428/311422/81654/641434/289950/25650/170851/83782/81743/170587/24212/24333/298410/117243/301458/25045/116643/84509/25289/58942/171374/296488/65262/117596/191575/292072/690441/94271/117273/25014"
"GO:0006091","generation of precursor metabolites and energy",107,0.400497111881135,1.8119916839479,0.000188824537403128,0.0322642506758007,0.0308279916073501,203,"tags=37%, list=21%, signal=33%","245965/24189/294362/60666/362809/171375/289218/298942/252934/681896/24533/316632/81654/117287/641434/289950/100188937/24551/25459/24787/81743/170587/81829/29445/25630/54322/24333/25058/292804/497902/301458/24191/64524/116643/25309/29507/114096/81683/65152/24642"
"GO:0045333","cellular respiration",65,0.445278700137754,1.83790524275252,0.000350855556471768,0.0333702618155371,0.0318847681144519,183,"tags=40%, list=19%, signal=35%","245965/294362/60666/171375/289218/298942/252934/681896/316632/81654/117287/641434/289950/100188937/24551/24787/81743/170587/81829/29445/54322/497902/301458/116643/25309/29507"
"GO:0043467","regulation of generation of precursor metabolites and energy",18,0.652823637555304,1.98016506273923,0.00072186635893624,0.0529624324711573,0.0506047836080783,258,"tags=72%, list=27%, signal=54%","294362/60666/117287/25459/81743/116643/25309/29507/81683/24642/29384/282819/25594"
"GO:0035902","response to immobilization stress",10,0.753048220139879,1.89920372839546,0.000680222292958258,0.0529624324711573,0.0506047836080783,149,"tags=60%, list=16%, signal=51%","288707/50646/25344/24787/24401/292804"
"GO:0038061","non-canonical NF-kappaB signal transduction",10,0.749734599154548,1.8908467053503,0.000742464006605009,0.0529624324711573,0.0506047836080783,84,"tags=50%, list=9%, signal=46%","85383/117254/25344/25459/63836"
"GO:1901222","regulation of non-canonical NF-kappaB signal transduction",10,0.749734599154548,1.8908467053503,0.000742464006605009,0.0529624324711573,0.0506047836080783,84,"tags=50%, list=9%, signal=46%","85383/117254/25344/25459/63836"
"GO:0007600","sensory perception",43,-0.483804158939376,-1.88531043340491,0.000623930935051111,0.0529624324711573,0.0506047836080783,317,"tags=63%, list=33%, signal=44%","29393/81742/25017/25085/29411/306934/24424/25152/29254/25473/24520/499529/24423/24898/116590/29237/24412/295645/59073/24404/116600/25297/25387/286924/140908/25679/24611"
"GO:0019637","organophosphate metabolic process",129,0.364295316854362,1.69183978027217,0.000707416104997444,0.0529624324711573,0.0506047836080783,226,"tags=38%, list=24%, signal=34%","245965/690660/25368/24189/294292/60666/171375/298942/85428/311422/50646/24534/24533/81654/117287/641434/289950/24551/60449/25650/170851/83782/81743/170587/81829/24212/24333/298410/25058/94167/117243/114101/292804/301458/85238/24191/25045/64524/116643/25275/114096/84509/65152/24642/25289/58942/171374/29384/78959"
"GO:0006090","pyruvate metabolic process",32,0.531010400447074,1.84937540372468,0.00113134078123856,0.0774742166992168,0.0740254136439885,203,"tags=47%, list=21%, signal=38%","24189/60666/298942/24534/24533/81654/289950/25630/24333/25058/292804/24191/81683/65152/24642"
"GO:0019318","hexose metabolic process",35,0.521888037468951,1.86465207240621,0.00129921239373103,0.0838854645717797,0.0801512616481466,203,"tags=46%, list=21%, signal=37%","24189/60666/24533/81654/289950/25459/60449/81829/25630/24401/24333/25058/292804/24191/65152/24642"
"GO:0009060","aerobic respiration",55,0.450970412944146,1.79035337940225,0.00132296001369045,0.0838854645717797,0.0801512616481466,291,"tags=58%, list=30%, signal=43%","245965/171375/289218/298942/252934/316632/81654/117287/641434/289950/100188937/24551/81743/170587/81829/29445/54322/497902/301458/116643/25309/29507/114096/171374/29384/361596/65262/282819/313241/690441/94271/117273"
